width_cm,satellites
28.3,8
22.5,0
26.0,9
24.8,0
26.0,4
23.8,0
26.5,0
24.7,0
23.7,0
25.6,0
24.3,0
25.8,0
28.2,11
21.0,0
26.0,14
27.1,8
25.2,1
29.0,1
24.7,0
27.4,5
23.2,4
25.0,3
22.5,1
26.7,2
25.8,3
26.2,0
28.7,3
26.8,5
27.5,0
24.9,0
29.3,4
25.8,0
25.7,0
25.7,8
24.7,2
23.7,0
23.8,0
24.3,0
22.9,0
23.0,0
25.8,0
29.0,12
26.2,0
24.8,4
25.1,0
28.0,6
25.0,0
27.0,1
24.5,0
26.2,1
23.1,3
22.5,0
26.3,0
26.3,0
26.7,5
27.8,6
25.5,0
27.2,2
27.0,6
26.0,3
28.0,4
27.0,3
24.5,2
24.7,0
26.1,5
25.7,0
28.3,3
25.0,0
28.5,0
24.8,0
29.0,4
24.7,0
27.3,4
26.2,6
23.0,0
26.0,1
26.7,5
29.0,1
23.2,0
26.8,14
27.5,3
23.5,0
26.5,3
28.2,0
27.0,5
24.0,0
23.0,0
26.8,3
26.5,0
24.0,0
27.3,4
24.3,0
24.0,0
24.3,0
24.5,1
23.5,0
28.0,3
25.0,5
28.0,9
26.5,4
22.0,0
27.3,0
26.7,4
25.0,0
27.7,0
24.0,0
22.5,0
26.5,0
28.3,0
24.0,0
26.7,3
26.5,5
27.2,3
28.0,3
23.3,0
26.3,0
28.2,7
24.0,0
27.0,3
25.0,0
28.0,3
26.5,5
28.8,0
27.0,5
28.2,5
29.0,3
26.5,3
26.7,5
29.5,5
25.3,0
28.0,6
24.0,2
23.3,0
29.3,3
25.0,0
25.3,2
29.3,5
29.0,15
26.0,2
25.2,1
26.0,4
25.5,0
22.7,0
25.0,4
26.5,0
30.0,5
23.0,0
27.0,3
27.5,4
24.0,0
26.8,3
25.0,0
25.5,0
27.2,4
23.5,0
24.0,0
30.0,3
22.5,0
25.3,0
24.3,1
26.0,5
25.5,2
26.7,0
28.3,15
25.5,0
24.0,2
26.0,3
32.5,0
23.5,0
26.5,6
25.5,3
22.5,1
